timestamp,address,date,type,weather,road_conditions,lightning,vehicles,num_of_participants,num_dead,num_injured,lon,lat
2016-10-03T23:45:00Z,Лиманский район,2016-10-03,Столкновение,Ясно,Сухое,"В темное время суток, освещение отсутствует",2,3,2,0,47.336984,45.839287
2016-10-02T09:55:00Z,"Кировский район, г Астрахань, ул Софьи Перовской, 103 а",2016-10-02,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,48.078607,46.346737
2016-10-02T16:25:00Z,"Ленинский район, г Астрахань, ул Марии Максаковой, 71",2016-10-02,Столкновение,Ясно,Сухое,Светлое время суток,2,3,0,1,48.044012,46.367585
2016-10-02T07:00:00Z,"Советский район, г Астрахань, ул Звездная, 7",2016-10-02,Наезд на препятствие,Ясно,Пыльное,Светлое время суток,2,2,0,1,48.048252,46.326279
2016-10-01T13:00:00Z,Икрянинский район,2016-10-01,Столкновение,Ясно,Сухое,Светлое время суток,2,2,0,1,47.694226,45.786846
2016-10-01T23:20:00Z,"Ленинский район, г Астрахань, ул Автозаправочная, 14",2016-10-01,Столкновение,Ясно,Сухое,"В темное время суток, освещение отсутствует",2,4,0,2,48.105745,46.406717
2016-10-01T00:10:00Z,"Советский район, г Астрахань, ул Адмирала Нахимова, 171-д",2016-10-01,Столкновение,Ясно,Сухое,"В темное время суток, освещение включено",2,3,0,1,47.984212,46.299058
2016-10-01T01:25:00Z,"Кировский район, г Астрахань, ул Боевая, 9",2016-10-01,Наезд на пешехода,Пасмурно,Сухое,"В темное время суток, освещение включено",1,2,0,1,48.020944,46.341455
2016-10-01T01:00:00Z,"Кировский район, г Астрахань, ул Победы, 53",2016-10-01,Падение пассажира,Ясно,Сухое,"В темное время суток, освещение включено",1,2,0,1,48.056194,46.353797
2016-10-01T18:00:00Z,"Харабалинский район, г Харабали, мкр Промзона N 3, 27",2016-10-01,Наезд на стоящее ТС,Ясно,Сухое,Сумерки,2,2,0,1,47.651377,47.408973
2016-10-01T12:00:00Z,Ахтубинский район,2016-10-01,Опрокидывание,Ясно,Сухое,Светлое время суток,1,3,1,2,46.371134,48.268094
2016-09-30T13:55:00Z,"Кировский район, г Астрахань, ул Магнитогорская, 72",2016-09-30,Наезд на пешехода,Пасмурно,Сухое,Светлое время суток,1,2,0,1,48.058287,46.34372
2016-09-30T15:00:00Z,"Кировский район, г Астрахань, ул Красная Набережная, 86",2016-09-30,Наезд на пешехода,Пасмурно,Сухое,Светлое время суток,1,2,0,1,48.053723,46.349008
2016-09-30T18:45:00Z,"Кировский район, г Астрахань, ул Софьи Перовской, 102",2016-09-30,Наезд на пешехода,Пасмурно,Сухое,Светлое время суток,1,2,0,1,48.080763,46.347533
2016-09-30T04:00:00Z,"Ленинский район, г Астрахань, ул Анри Барбюса, ЛЭП 119",2016-09-30,Столкновение,Пасмурно,Сухое,Светлое время суток,2,7,0,7,48.048432,46.361796
2016-09-29T19:40:00Z,"Ленинский район, г Астрахань, ул Латвийская, 11",2016-09-29,Наезд на пешехода,Ясно,Сухое,"В темное время суток, освещение не включено",1,2,0,1,48.096429,46.354276
2016-09-29T15:30:00Z,Енотаевский район,2016-09-29,Столкновение,Пасмурно,Сухое,Светлое время суток,2,5,0,5,47.096469,47.054217
2016-09-29T21:00:00Z,"Советский район, г Астрахань, ул Адмирала Нахимова, 95",2016-09-29,Опрокидывание,Ясно,Сухое,"В темное время суток, освещение включено",1,1,0,1,47.999393,46.314951
2016-09-29T09:30:00Z,"Кировский район, г Астрахань, ул Нововосточная, .",2016-09-29,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,48.077906,46.351272
2016-09-28T08:40:00Z,"Советский район, г Астрахань, ул Николая Островского, 148-е",2016-09-28,Наезд на стоящее ТС,Пасмурно,Пыльное,Светлое время суток,5,5,0,2,48.063425,46.335893
2016-09-28T12:15:00Z,"Трусовский район, г Астрахань, ул Магистральная, 10",2016-09-28,Столкновение,Пасмурно,Пыльное,Светлое время суток,2,3,0,1,47.974231,46.418603
2016-09-28T19:15:00Z,"Советский район, г Астрахань, ул Николая Островского, 127-б",2016-09-28,Наезд на пешехода,Пасмурно,Сухое,"В темное время суток, освещение включено",1,2,0,1,48.055637,46.335183
2016-09-28T08:10:00Z,"Советский район, г Астрахань, ул Ахшарумова, 76",2016-09-28,Столкновение,Пасмурно,Сухое,Светлое время суток,2,2,0,1,48.031274,46.337193
2016-09-27T08:49:00Z,"Трусовский район, г Астрахань, пер Ишимбайский, 3-108",2016-09-27,Наезд на пешехода,Ясно,Мокрое,Светлое время суток,1,2,0,1,47.995629,46.351676
2016-09-27T17:45:00Z,"Кировский район, г Астрахань, ул Набережная Приволжского затона, 14 к.2",2016-09-27,Столкновение,Ясно,Сухое,Светлое время суток,3,4,0,1,48.016093,46.342239
2016-09-27T17:05:00Z,"Советский район, г Астрахань, ул Волжская, 56",2016-09-27,Столкновение,Ясно,Сухое,Светлое время суток,2,2,0,1,48.025884,46.335955
