timestamp,address,vehicle_id,type_of_vehicle,model_of_vehicle,color,technical_issues,year,engine_location,is_escaped
2017-02-15T09:05:00Z,"Трусовский район, г Астрахань, ул Керченская 5-я, 45",ТС2,"В-класс (малый) до 3,9 м",GEELY MK,Многоцветный,Технические неисправности отсутствуют,2011,Передний,Нет
2017-02-15T18:10:00Z,"Кировский район, г Астрахань, ул Набережная Приволжского затона, 36",ТС1,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2107 модификации,Белый,Технические неисправности отсутствуют,2004,Задний,Нет
2017-02-15T18:10:00Z,"Кировский район, г Астрахань, ул Набережная Приволжского затона, 36",ТС2,"В-класс (малый) до 3,9 м",TOYOTA Camry,Многоцветный,Технические неисправности отсутствуют,2007,Передний,Нет
2017-02-15T20:40:00Z,"Советский район, г Астрахань, ул Адмирала Нахимова, 147",ТС1,"В-класс (малый) до 3,9 м",RENAULT Logan,Коричневый,Технические неисправности отсутствуют,2012,Передний,Нет
2017-02-15T20:40:00Z,"Советский район, г Астрахань, ул Адмирала Нахимова, 147",ТС2,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2107 модификации,Красный,Технические неисправности отсутствуют,2005,Задний,Нет
2017-02-14T19:00:00Z,"Кировский район, г Астрахань, ул Курская, 53 кор. 1",ТС1,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2107 модификации,Белый,Технические неисправности отсутствуют,2004,Задний,Нет
2017-02-14T19:00:00Z,"Кировский район, г Астрахань, ул Курская, 53 кор. 1",ТС2,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2107 модификации,Белый,Технические неисправности отсутствуют,2012,Задний,Нет
2017-02-14T19:35:00Z,"Трусовский район, г Астрахань, ул Вильямса, 6а",ТС1,"В-класс (малый) до 3,9 м",CHEVROLET Прочие модели Chevrolet,Белый,Технические неисправности отсутствуют,2008,Передний,Нет
2017-02-14T09:40:00Z,"Ленинский район, г Астрахань, ул Латышева",ТС1,"В-класс (малый) до 3,9 м",KIA Rio,Иные цвета,Технические неисправности отсутствуют,2013,Передний,Нет
2017-02-13T22:00:00Z,Икрянинский район,ТС1,Мотоциклы,NA,NA,Технические неисправности отсутствуют,NA,NA,Да
2017-02-13T08:35:00Z,"Ленинский район, г Астрахань, ул Академика Королева, 0",ТС1,Прочие одноярусные,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Белый,Технические неисправности отсутствуют,2011,Задний,Нет
2017-02-13T15:25:00Z,"Трусовский район, г Астрахань, ул Магистральная, .",ТС1,Фургоны,ГАЗ Валдай,Белый,Технические неисправности отсутствуют,2012,Задний,Нет
2017-02-13T15:25:00Z,"Трусовский район, г Астрахань, ул Магистральная, .",ТС2,Одноэтажные длиной от 5 до 8 м,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Желтый,Отсутствуют предусмотренные конструкцией транспортного средства ремни безопасности и(или) подголовники сидений,2008,Задний,Нет
2017-02-13T15:50:00Z,"Приволжский район, с Осыпной Бугор, ул Астраханская, 48",ТС1,"В-класс (малый) до 3,9 м",ВАЗ ВАЗ 2115 и модификации,Серый,Технические неисправности отсутствуют,2008,Передний,Нет
2017-02-13T10:30:00Z,"Кировский район, г Астрахань, ул Боевая, 20",ТС1,"С-класс (малый средний, компактный) до 4,3 м",HONDA Accord,Черный,Технические неисправности отсутствуют,2008,Передний,Да
2017-02-12T15:40:00Z,"Ленинский район, г Астрахань, ул Анри Барбюса, 30",ТС1,Минивэны и универсалы повышенной вместимости,TOYOTA Land Cruiser,Черный,Технические неисправности отсутствуют,2013,Полноприводный,Нет
2017-02-12T19:05:00Z,"Советский район, г Астрахань, ул Котельная 5-я, 7а",ТС1,"В-класс (малый) до 3,9 м",BMW 7er,Иные цвета,Технические неисправности отсутствуют,2002,Передний,Нет
2017-02-12T14:40:00Z,"Советский район, г Астрахань, ул Аэропортовская, 8",ТС1,"В-класс (малый) до 3,9 м",ВАЗ ВАЗ 2115 и модификации,Многоцветный,Технические неисправности отсутствуют,2002,Передний,Нет
2017-02-11T12:40:00Z,"Кировский район, г Астрахань, ул Адмиралтейская, 21",ТС1,Одноэтажные длиной от 5 до 8 м,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Белый,Отсутствуют предусмотренные конструкцией транспортного средства ремни безопасности и(или) подголовники сидений,2005,Задний,Нет
2017-02-11T08:30:00Z,"Советский район, г Астрахань, ул Боевая, 135",ТС1,"В-класс (малый) до 3,9 м",KIA Soul,Красный,Технические неисправности отсутствуют,2013,Передний,Нет
2017-02-11T08:30:00Z,"Советский район, г Астрахань, ул Боевая, 135",ТС2,"В-класс (малый) до 3,9 м",MITSUBISHI Lancer,Черный,Технические неисправности отсутствуют,2008,Передний,Нет
2017-02-10T15:10:00Z,Икрянинский район,ТС1,"В-класс (малый) до 3,9 м",ВАЗ Priora,Зеленый,Технические неисправности отсутствуют,2008,Передний,Нет
2017-02-10T15:10:00Z,Икрянинский район,ТС2,Минивэны и универсалы повышенной вместимости,TOYOTA Land Cruiser,Черный,Технические неисправности отсутствуют,2013,Полноприводный,Нет
2017-02-10T07:00:00Z,Наримановский район,ТС1,Бортовые грузовые автомобили,ГАЗ Валдай,Иные цвета,Не устанавливались,2013,Задний,Нет
2017-02-10T18:15:00Z,Володарский район,ТС1,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2106 модификации,Белый,"Технические параметры, указанные на наружной поверхности газовых баллонов автомобилей и автобусов, оснащённых газовой системой питания, не соответствуют данным технического паспорта. Отсутствуют даты последнего и планируемого освидетельствования.",1995,Задний,Нет
2017-02-10T18:15:00Z,Володарский район,ТС2,"В-класс (малый) до 3,9 м",ВАЗ ВАЗ 2112 и модификации,Иные цвета,Технические неисправности отсутствуют,2002,Задний,Нет
2017-02-10T20:10:00Z,"Трусовский район, г Астрахань",ТС1,"В-класс (малый) до 3,9 м",NISSAN Tiida,Белый,Технические неисправности отсутствуют,2005,Передний,Нет
2017-02-10T20:10:00Z,"Трусовский район, г Астрахань",ТС2,"В-класс (малый) до 3,9 м",GEELY MK,Черный,Технические неисправности отсутствуют,2012,Передний,Нет
2017-02-10T17:25:00Z,"Трусовский район, г Астрахань",ТС1,"В-класс (малый) до 3,9 м","ВАЗ  Жигули  ВАЗ-2108, 09 и модификации",Черный,Технические неисправности отсутствуют,1991,Передний,Нет
2017-02-10T17:25:00Z,"Трусовский район, г Астрахань",ТС2,"В-класс (малый) до 3,9 м","МОСКВИЧ Москвич 2141, 214100, 214122, 214145",Белый,Технические неисправности отсутствуют,1994,Передний,Нет
2017-02-10T11:46:00Z,"Кировский район, г Астрахань, ул 11 Красной Армии, 5",ТС1,"В-класс (малый) до 3,9 м",FORD Focus,Белый,Технические неисправности отсутствуют,2012,Передний,Нет
2017-03-09T23:45:00Z,Икрянинский район,ТС1,"В-класс (малый) до 3,9 м",ВАЗ Priora,Белый,Технические неисправности отсутствуют,2011,Передний,Нет
2017-03-09T08:40:00Z,"Трусовский район, г Астрахань, ул Комсомольская, 193",ТС1,"С-класс (малый средний, компактный) до 4,3 м",OPEL Corsa,Красный,Технические неисправности отсутствуют,2007,Передний,Нет
2017-03-09T14:40:00Z,"Ленинский район, г Астрахань, ул Бертюльская, .",ТС1,"С-класс (малый средний, компактный) до 4,3 м",HYUNDAI i40,Белый,Технические неисправности отсутствуют,2013,Передний,Нет
2017-03-09T21:15:00Z,"Наримановский район, с Старокучергановка, ул Ленина, 5",ТС1,"В-класс (малый) до 3,9 м","ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108",Многоцветный,Технические неисправности отсутствуют,2003,Передний,Нет
2017-03-09T21:15:00Z,"Наримановский район, с Старокучергановка, ул Ленина, 5",ТС2,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ ВАЗ 2114 и модификации,Многоцветный,Технические неисправности отсутствуют,2008,Передний,Нет
2017-03-09T16:10:00Z,"Кировский район, г Астрахань, ул Раскольникова, 8",ТС1,Одноэтажные длиной от 5 до 8 м,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Желтый,Отсутствуют предусмотренные конструкцией транспортного средства ремни безопасности и(или) подголовники сидений,2003,Передний,Нет
2017-03-09T16:10:00Z,"Кировский район, г Астрахань, ул Раскольникова, 8",ТС2,"В-класс (малый) до 3,9 м",OPEL Omega,Серый,Технические неисправности отсутствуют,1995,Передний,Нет
2017-03-09T20:40:00Z,"Трусовский район, г Астрахань, ул Пушкина, 48г",ТС1,"В-класс (малый) до 3,9 м","ВАЗ  Жигули  ВАЗ-2108, 09 и модификации",Иные цвета,Технические неисправности отсутствуют,2002,Передний,Нет
2017-03-09T20:40:00Z,"Трусовский район, г Астрахань, ул Пушкина, 48г",ТС2,"В-класс (малый) до 3,9 м",ВАЗ Priora,Красный,Технические неисправности отсутствуют,2009,Передний,Нет
